BUSINESS NAME, PHONE, WEB, EMAIL, STREET, SUBURB, STATE, POSTCODE, GPS LATITUDE, GPS LONGITUDE
Adorn Glass and Glazing,0418 292 999,,,36 Jindabyne Rd,NSW,Flinders,2529,-34.583529, 150.853067
A1 GLASS COMPANY,0416 892 792,,,1 Mascot Dr,NSW,Eastlakes,2018,-33.924938, 151.208036
A1 Glass &amp; Showers,(02) 6882 0560,,a1glassshowers@bigpond.com,7 Capital Dr,NSW,Dubbo,2830,-32.263929, 148.652374
A2Z Window &amp; Glass Repair,0400 430 122,,,,,,,-33.8938118, 151.2630738
A (AABAAABA),(02) 9540 3502,,,,,,,-34.0344605, 151.1023188
A (Aabaaaba All Suburbs),(02) 9666 5144,,,78 Bay St,NSW,Botany,2019,-33.94137, 151.20363
A (Aabaaaba Western Suburbs),(02) 9635 7535,,,154 Marsden St,NSW,Parramatta,2150,-33.813575, 151.001873
A (Aabaaba Northern Suburbs),(02) 9438 4902,,,284 Pacific Hwy,NSW,Crows Nest,2065,-33.828223, 151.201072
A.AABA Smitheys,(02) 9686 4746,,,48 Aurelia St,NSW,Toongabbie,2146,-33.788621, 150.949719
AAbakan Glass,0416 041 612,,,,,,,-33.9099902, 151.2229721
A All Glass &amp; Mirrors,(02) 9665 2322,,,Showroom 371 Arden St,NSW,South Coogee,2034,-33.92854, 151.25541
A. All Occasions Glass &amp; Aluminium,(02) 9822 7202,,,Unit 2/ 64 Heathcote Rd,NSW,Moorebank,2170,-33.93408, 150.93599
A.All Occasions Glass &amp; Aluminum,1800 465 995,,,Unit 2/ 64 Heathcote Rd,NSW,Moorebank,2170,-33.93408, 150.93599
A.A. Our Town Glass &amp; Glazing,(02) 4944 8555,,david@aaotg.com.au,19 Ivy St,NSW,Dudley,2290,-32.99187, 151.721771
A Better Service,(02) 9888 1840,,,25 Fawcett St,NSW,Ryde,2112,-33.797821, 151.107658
A.B.H. Glass Co,0419 887 747,,,,,,,-33.8921362, 151.2473713
Abstract Aluminium &amp; Glazing Co,(02) 9725 2844,,,24 Hargrave Pl,NSW,Wetherill Park,2164,-33.84273, 150.89972
Accord Glass &amp; Locks,0417 240 289,,accordglass@bigpond.com,,,,,-33.9212744, 151.2270413
Accurate Glass,0413 496 841,,,76 Governors Way,NSW,Macquarie Links,2565,-33.9797, 150.87046
Ace Glass &amp; Aluminium,(02) 6643 3866,,,228 Fitzroy St,NSW,Grafton,2460,-29.685769, 152.925944
Ace Glass Byron Bay,(02) 6680 3333,,,3/ 2-4 Bonanza Dr,NSW,Billinudgel,2483,-28.504101, 153.528362
ACE GLASS PTY LTD,0403 729 260,,,45 Farrell Rd,NSW,Bass Hill,2197,-33.895766, 150.985381
Ace Glass Services (NSW) Pty Ltd,(02) 9651 6607,,service@aceglass.com.au,Unit 6 827 Old Northern Rd,NSW,Dural,2158,-33.695578, 151.032554
Act Fast Glass,0412 276 633,,,26 Yass Rd,NSW,Queanbeyan East,2620,-35.34358, 149.24515
ACT Fast Glass Service,0412 276 633,,actfastglass@bigpond.com,,,,,-35.3566986, 149.2332258
Advanced Glass Scratch Repair,0402 589 132,,contact@advancedglassscratchrepair.com.au,,,,,-33.8996916, 151.2706196
A&amp;E Glass Design &amp; Painting Pty Ltd,0434 975 111,,allaneva1@yahoo.com,,,,,-33.9705158, 151.0800503
Affordable Glass Splashbacks,0406 368 469,,,829 Pacific Hwy,NSW,Belmont South,2280,-33.05339, 151.65526
AJ Glass &amp; Glazing,0420 401 355,,hanna_naboulsi@yahoo.com,,,,,-33.9221658, 151.0117878
AJM Glass And Aluminum Pty Ltd,1300 364 172,,,Unit 27 2 Hoyle Ave,NSW,Castle Hill,2154,-33.73261, 150.98196
Albury Glass,(02) 6021 5944,,admin@alburyglass.com,393 Townsend St,NSW,South Albury,2640,-36.085738, 146.91138
Alexandria Glass &amp; Glazing Pty Ltd,(02) 9310 1720,,sales@alexandriaglass.com.au,Unit 2 287-293 Botany Rd,NSW,Waterloo,2017,-33.904632, 151.203199
A &amp; L Glass Services,0416 093 298,,,11 David Ave,NSW,Batehaven,2536,-35.73769, 150.20544
AAA Glass Splashbacks,(02) 9791 6355,,,4 Gartmore Ave,NSW,Bankstown,2200,-33.928526, 151.036747
Adlei Glass Pty Ltd,(02) 9606 7337,,info@adleiglass.com.au,,,,,-33.9451294, 150.8877106
All About Glass &amp; Glazing,(02) 9681 0100,,info@aagg.com.au,9/ 183-185 McCredie Rd,NSW,Smithfield,2164,-33.848585, 150.95329
All Districts Glass,0417 285 293,,,3 Ford St,NSW,Greenacre,2190,-33.896192, 151.067493
Allround Glass Service,(02) 9645 5556,,allroundglassservice@bigpond.com,,,,,-33.8832003, 151.0015743
Apsley Glass &amp; Showers,(02) 6331 5753,,info@apsleyglass.com.au,7 Vale Rd,NSW,Bathurst,2795,-33.43499, 149.57818
Aspex Splashbacks,(02) 9688 2333,,sales@aspex.net.au,Unit 2 51 Cassola Pl,NSW,Penrith,2750,-33.735534, 150.690326
All Glass &amp; Aluminium,(02) 4963 7859,,,,,,,-32.9482072, 151.7362309
All Glass Byron Bay,(02) 6680 6915,,service@allglassbyronbay.com.au,Unit 9 102-104 Centennial Cct,NSW,Byron Bay,2481,-28.636944, 153.580996
All Glass Repairs Picton,0428 572 523,,cormackglass@bigpond.com,,,,,-34.0780357, 150.5708435
All Hours Glass,0422 626 632,,allhoursglass@bigpond.com,Unit 1/3 Regmoore Cl,NSW,Culburra Beach,2540,-34.930297, 150.747604
All Points Glass Service,0411 518 877,,all_points@optusnet.com.au,72 Percival Rd,NSW,Smithfield,2164,-33.84095, 150.94909
All Purpose Glass &amp; Glazing,0448 899 408,,,,,,,-33.8709273, 150.9555848
All Southern Areas Glass Service,1800 339 964,,regencyglass5@bigpond.com,,,,,-34.0314726, 151.0579866
All Time Glass &amp; Aluminium,(02) 6581 2877,,alltimeglass@y7mail.com,,,,,
Alstonville Glass,0409 077 215,,,Shed 2 9 Centenary Dr,NSW,Goonellabah,2480,-28.821474, 153.34642
Amazing Glass &amp; Aluminium Pty Ltd,0413 555 855,,amazing.glass@hotmail.com,,,,,-33.8832003, 151.0015743
AM PM AUTO GLASS PTY LTD,0402 388 222,,,19 Hume Hwy,NSW,Greenacre,2190,-33.886472, 151.066527
Anything Glass N Glazing,(02) 4355 4224,,anythingglassnglazing@y7mail.com,Unit 1/ 8 Willow Tree Rd,NSW,Wyong,2259,-33.265253, 151.44667
Apex Glass Pty Ltd,0414 336 104,,apex-glass@hotmail.com,,,,,-33.91063, 151.15646
Aplus Glass and Aluminium,0492 056 453,,aplus.glass@outlook.com,,,,,-28.7917177, 153.062862
AquaGlass,0419 443 078,,miles@aquaglass.com.au,37/ 3 Kelso Cres,NSW,Moorebank,2170,-33.930413, 150.940493
A Quickfix Glass Services,0408 294 097,,,,,,,-33.67467672, 150.91834829
A Quick Fix Glass Services,(02) 8824 9488,,cjod@tpg.com.au,35 Milford Dr,,NSW,Rouse Hill,2155,-33.676371, 150.926401
Armidale Glass,0412 667 725,,,215 Mann St,NSW,Armidale,2350,-30.516345, 151.65046
arrised glass,0415 623 187,,arrisedglass@yahoo.com.au,,,,,-33.9206448, 151.2552465
Artesian Glass,(02) 6752 4305,,artesianglass@bigpond.com,330 Frome St,NSW,Moree,2400,-29.47294, 149.84332
Artform Living,(02) 9979 9939,,info@artformliving.com.au,Shop 6/ 76 Darley St,NSW,Mona Vale,2103,-33.673981, 151.305497
Arurilac Pty Ltd,0458 770 626,,dalemeredith@hotmail.com,34 Angler St,NSW,Woy Woy,2256,-33.497209, 151.31879
Atlantic Glass (Aust) Pty Ltd,(02) 4353 8533,,kathy@atlanticglass.com.au,,,,,
A Touch Of Glass,(02) 4968 3000,,,167 Maitland Rd,NSW,Sandgate,2304,-32.864452, 151.706721
Ausnet Pty Ltd,(02) 6566 8139,,,,,,,-31.0800609, 152.8415928
Aussie Emergency Glass,1800 004 411,,repairs@aussieglass.com.au,8 / 211 Bannister Rd, WA,Canning Val,6155,-32.06591, 115.90011
Avis Glass &amp; Aluminium,(02) 9587 9618,,,26 Production Ave,NSW,Kogarah,2217,-33.97861, 151.13882
Allround Glass &amp; Glazing,(03) 9486 0266,,info@allroundglass.com,199 Langridge St,VIC,Abbotsford,3067,-37.80748, 144.99287
Appsys Glass &amp; Aluminium,0437 172 965,,appsysglass@gmail.com,,,,,-34.3142198, 148.2977066
Aspex Splash Backs,(02) 9688 2333,,,Penrith, Nsw 2750,NSW,Penrith,2750,-33.7521624, 150.6909555
Avis Glass Service,(02) 9587 9618,,,,,,,-33.9627271, 151.1334636
Avoca Beach Glass,0400 826 675,,barry@avocabeachglass.com.au,Bldg 14/8 Gibbens Road,NSW,West Gosford,2250,-33.415838, 151.323036
Avro Glass Pty Ltd,(02) 6765 3656,,admin@avroglass.com.au,2 Hinkler Rd,NSW,Taminda,2340,-31.097131, 150.903501
Ay-Won Glass,(02) 6299 3417,,jpercival@netspeed.com.au,6/79 High St.,NSW,Queanbeyan East,2620,-35.342275, 149.238657
Ballina Byron Glass &amp; Aluminium,(02) 6686 7484,,info@ballinabyronglass.com.au,1/ 36 Southern Cross Dr,NSW,Ballina,2478,-28.848654, 153.554548
Bay &amp; Basin Glass,(02) 4443 6254,,,,,,,-35.0920642, 150.5647506
Berowra Glass &amp; Glazing,(02) 9456 1486,,lorrie777@hotmail.com,,,,,-33.623661, 151.1510303
Bradley's Glass And Aluminium,0481 225 344,,bradfowler1985@gmail.com,59 Candlebark Cct,NSW,Glenmore Park,2745,-33.790257, 150.666598
Balmain Village Glass,0402 028 762,,kyle@bvglass.com.au,Unit 22/ 36 Beamish St,NSW,Campsie,2194,-33.90495, 151.102275
Barling Glass And Glazing,0409 203 360,,barlingglass@bigpond.com,,,,,-34.0660296, 151.0125428
Barrenjoey Glass Craft,(02) 9999 0607,,glasscraft1@bigpong.com,Unit 5 77-79 Bassett St,NSW,Mona Vale,2103,-33.671736, 151.305936
Bathurst Glass &amp; Windows,(02) 6331 2200,,sales@bathurstglass.com.au,88 Corporation Ave,NSW,Robin Hill,2795,-33.412884, 149.541959
Baulkham Hills Glass,(02) 9680 9812,,sales@baulkhamhillsglass.com.au,,,,,-33.72510369, 151.00187631
Baulkham Hills Glass Pty Ltd,(02) 9680 9812,,bhglass@bigpond.com,,,,,-33.8152373, 151.003125
Bay &amp; Basin Mobile Windscreens,0430 365 387,,info@baybasinmobilewindscreens.com.au,,,,,-34.8746078, 150.6027656
bayview enterprise,(03) 9939 3398,,bayviewenterprise@hotmail.com,,,,,-33.90604117, 151.05814101
BB's Fast Glass Pty Ltd,0408 292 704,,brian@bbsfastglass.com,,,,,-33.8830488, 151.1144199
BBS Glass Splashbacks,1300 804 080,,sales@bbsglass.com.au,10/ 17 Lorraine St,NSW,Peakhurst,2210,-33.965943, 151.060856
Bega Valley Glass,0427 652 467,,begavalleyglass@bigpond.com,,,,,-36.6742276, 149.8429277
Belmont Glass Service,(02) 4948 8182,,,86 Ntaba Rd,NSW,Jewells,2280,-33.01346, 151.682684
Belrose Glass Repairs,(02) 9451 3346,,,,,,,-33.7394441, 151.2098162
Bent Street Windscreens,(02) 6642 7666,,,Lot 3 Spring St,NSW,South Grafton,2460,-29.70555, 152.94046
Beyond Glass,0438 299 531,,,6 Baringa Ave,NSW,Seaforth,2092,-33.793005, 151.248849
Big River Glass,(02) 6642 2577,,enquiries@bigriverglass.com.au,73 Bent St,NSW,South Grafton,2460,-29.705524, 152.940155
Blacktown Glass Service,(02) 9622 4488,,,46 Forge St,NSW,Blacktown,2148,-33.751568, 150.91266
Blaxland Glass,(02) 4739 2649,,blaxlandglass@bigpond.com,U 19 29 Attunga Rd,NSW,Blaxland,2774,-33.737216, 150.611997
Bondi Glass Service Pty. Ltd.,(02) 9337 5593,,bondiglass@ozemail.com.au,145 New South Head Rd,NSW,Vaucluse,2030,-33.857277, 151.281897
Border Country Glass Pty Ltd,0407 298 584,,bordercglass@bigpond.com,,,,,-36.0807785, 146.9164693
Bradney Glass Pty Ltd,(02) 9875 1100,,info@bradneyglass.com.au,,,,,-33.7320572, 151.078819
Brettco Glass Australia,(02) 9519 0033,,brettcoglass@optusnet.com.au,U 7 21 Chester St,NSW,Annandale,2038,-33.88557, 151.17423
Brettco Glass Australia Pty Ltd,(02) 9519 0033,,brettcoglass@optusnet.com.au,U 7 21 Chester St,NSW,Annandale,2038,-33.88557, 151.17423
Brisbane Water Glass,(02) 4344 2455,,,173 Blackwall Rd,NSW,Woy Woy,2256,-33.491982, 151.32673
Brogo Woodworks,(02) 6494 0247,,,Dr George Mountain Rd,NSW,Tanja,2550,-36.650431611, 149.942141089
Bromley Simpson &amp; Co,(02) 9387 1673,,,,,,,-33.8921362, 151.2473713
Brookvale Glass Services,(02) 9938 2826,,brookyglass@hotmail.com,188 Harbord Rd,NSW,Brookvale,2100,-33.76581, 151.278942
Bermagui Glass,0447 224 776,,,,,,,-36.4292545, 150.076035
Bowral Glass,(02) 4862 1379,,sales@bowralglass.com.au,Unit 5 Kiama Court, Kiama Street,NSW,Bowral,2576,-34.483546, 150.410163
Browny's Glass and Aluminium,(02) 6553 4848,,sales@winghamwindows.com,15 Farquhar St,NSW,Wingham,2429,-31.869969, 152.372352
Budget Glass &amp; Glazing,(02) 4341 7041,,,32 Beach Rd,NSW,Ettalong,2257,-33.515366, 151.331343
Budget Shower Screens &amp; Wardrobes,0409 842 004,,,,,,,-33.751066, 150.8526305
Building &amp; Glazing Services Pty Ltd,(02) 8721 6061,,,,,,,-33.8746051, 151.0940251
Business Window The,(02) 9870 7197,,,32 Fontenoy Rd,NSW,Macquarie Park,2113,-33.777562, 151.131819
Cabra-Vale Glass Service,(02) 9756 1379,,,1199 The Horsley Dr,NSW,Wetherill Park,2164,-33.85156, 150.894839
casse glass,1300 664 833,,scottholton@casseglass.com.au,,,,,-34.0231688, 150.8041431
Citi Commercial Interiors,0415 682 487,,info@citici.com.au,,,,,
Coastal Glass &amp; Aluminium,0423 498 238,,warwick@coastalglassqld.com.au,,,,,-28.1733298, 153.5458235
Cain's Glass Service Pty Ltd,(02) 4731 5386,,sue@cainsglassservice.com.au,8 Peachtree Rd,NSW,Penrith,2750,-33.74707, 150.688683
Camden Glass Service,(02) 4646 1761,,,15 Graham Hill Rd,NSW,Narellan,2567,-34.037834, 150.729901
Camden Haven Glass &amp; Screen Solutions,(02) 6559 5111,,,26 Bayside Cct,NSW,Laurieton,2443,-31.641356, 152.795801
Canefields Eco Products (Aust),(02) 9872 5600,,,69 Baker St,NSW,Carlingford,2118,-33.778269, 151.043077
CAPE BYRON GLASS,(02) 6685 8588,,,13E Acacia St,NSW,Byron Bay,2481,-28.636115, 153.585894
Capitol Glass New England,(02) 6769 5793,,sales@capitolglass.com.au,18 Denison St,NSW,Tamworth,2340,-31.087596, 150.915819
Cardona Glass Design,0417 028 229,,,14 Grumman Pl,NSW,St Clair,2759,-33.802129, 150.79332
Carl's Glass Pty Ltd,(02) 9642 1479,,,Unit 13/ 6-20 Braidwood St,NSW,Strathfield South,2136,-33.888064, 151.071091
CCS Glass Mirrors Showers Splashbacks,0413 630 265,,infoccsaus@gmail.com,,,,,-33.87276349, 151.2053446
CCUE 1314,0411 295 117,,,,,,,-33.7031604, 151.1004777
Central Shower Screens,(02) 4421 4818,,centralshower@y7mail.com,2/ 25 Bellevue St,NSW,Nowra South,2541,-34.912715, 150.598252
Central West Showers &amp; Doors,0401 451 143,,,187 Clinton St,NSW,Orange,2800,-33.268533, 149.093845
Cessnock Glass Pty Ltd,(02) 4990 4220,,glass@cessnockglass.com.au,9 Church St,NSW,Cessnock,2325,-32.82895, 151.355902
Champion windows,0468 471 559,,info@championwindows.com.au,,,,,-33.7381037, 151.0718282
CHEAPER GLASS REPAIRS wel beat any quote by 20%,0469 917 240,,David_chahine@hotmail.com,4 Parramatta Sq,NSW,Parramatta,2150,-33.81666, 151.005103
Chris Shannons Glass And Glazing,0409 186 806,,chrisshannon1970@gmail.com,,,,,-34.4241792, 150.8935489
City Glass (Newcastle) Pty Ltd,(02) 4948 8182,,,,,,,-33.0205072, 151.6679883
Clarence Valley Glass,(02) 6642 5778,,,62 Spring St,NSW,South Grafton,2460,-29.704326, 152.936182
Clarksons,(08) 8244 5640,,,685 Woodville Rd, SA,Woodvill,5011,-34.877398, 138.538481
Classic Frosted Glass Pty Ltd,(02) 9756 1733,,,Lot 46/ 121- 123 Cowpasture Rd,NSW,Wetherill Park,2164,-33.84126, 150.88023
Classic Glass and Glazing Pty Ltd,0422 188 550,,classicglass@aapt.net.au,,,,,-34.0256732, 150.8205588
Clear Choice Glass,0406 929 743,,info@clearchoiceglass.com.au,,,,,-33.5213638, 151.3183075
Clearview Auto Glass,(02) 4576 0570,,,267 Cedar Ridge Rd,NSW,Kurrajong,2758,-33.481992, 150.700164
Clearview Autoglass,0409 308 696,,,486 Londonderry Rd,NSW,Londonderry,2753,-33.642471, 150.734386
Coffs Harbour Glass Repairs,0408 008 402,,coffsharbourglass@bigpond.com,,,,,-30.3762702, 153.0358008
Cold Forged Products,0458 777 400,,,1101 Abel Pl,NSW,Cronulla,2230,-34.050841, 151.153657
Coloured Glass Splashbacks,(02) 9627 4189,,,1/ 12 Garfield Rd East,NSW,Riverstone,2765,-33.67981, 150.86144
Coloured Glass Splashbacks For Kitchens,1300 793 811,,abdul.issa90@hotmail.com,Wattle St,NSW,Ultimo,2007,-33.877174, 151.194619
Condor Glass &amp; Glazing,(02) 9651 3129,,info@condorglass.com.au,786 Old Northern Rd,NSW,Middle Dural,2158,-33.644102, 151.020584
Cootamundra Glass Service,(02) 6942 6644,,,117 Sutton St,NSW,Cootamundra,2590,-34.644686, 148.023456
Coriander Glass,(02) 8005 0909,,info@corianderglass.com,,,,,-33.9619636, 150.9831318
Corlette Glass,(02) 4981 0164,,,,,,,-32.7187104, 152.108578
Casino Glass &amp; Aluminium,(02) 6662 2105,,cga@live.com.au,6 Cassino Dr,NSW,Casino,2470,-28.859713, 153.068198
Coast 2 Coast Glass &amp; Glazing,0412 742 806,,coast2coastglass_@outlook.com,,,,,-33.2578199, 151.5109456
Cotton's Glass &amp; Aluminium Pty Ltd,(02) 4955 9152,,info@cottonsglass.com.au,4 Carbine Close,NSW,Maryland,2287,-32.889758, 151.66813
Cydonia The Glass Studio Pty Ltd,(03) 5874 3557,,sergio@cydoniaglass.com.au,,,,,
Davadan Glass Replacement,0405 557 773,,,,,,,-33.8832003, 151.0015743
Dee Why Glass Service,(02) 9972 0110,,sales@deewhyglass.com.au,Unit 3 77-79 Bassett St,NSW,Mona Vale,2103,-33.671736, 151.305936
Distinctive Glass Art Pty Ltd,(02) 6658 6184,,,3/ 40 Hi Tech Dr,NSW,Toormina,2452,-30.344604, 153.088775
D&amp;L Glass &amp; Screens,0477 660 424,,,1c 6 Belah Rd,NSW,Port Macquarie,2444,-31.452359, 152.886838
Dawson Glass,0430 365 387,,,,,,,-35.0921145, 150.5975695
DC Glass and Screens,0478 572 881,,dcglassandscreens@gmail.com,13A Mount Hall Rd,NSW,Raymond Terrace,2324,-32.763055, 151.764562
Deco Splash Pty Ltd,0402 654 182,,,86 Ntaba Rd,NSW,Jewells,2280,-33.01346, 151.682684
Deniliquin Aluminium Windows,(03) 5881 6377,,admin@deniwindows.com.au,1 Jane St,NSW,Deniliquin,2710,-35.530056, 144.946911
Diamond Cut Glass,0404 372 717,,ehab@diamondcutglass.net,18 Bryson St,NSW,Toongabbie,2146,-33.78927, 150.961076
Diamond Frameless,0498 123 179,,,,,,,-34.058876, 151.0816873
Diverse Glass &amp; Glazing,0435 729 391,,diverseglass@gmail.com,39 Higgerson Ave,NSW,Engadine,2233,-34.073002, 151.006627
DJ's Glass &amp; Repairs,0428 528 704,,,,,,,-30.2963481, 153.1156869
DLG Aluminium and Glazing,(02) 6041 6844,,mail@dlg.net.au,,,,,
DNA Glass N Glazing,0404 278 219,,Dnaglassnglazing@gmail.com,,,,,
DnD Glass and Glazing,(07) 5523 1937,,,35 Ash Drive,NSW,Banora Point,2486,-28.225728, 153.528261
DND Glass &amp; Glazing,(07) 5523 1937,,sales@dndglassandglazing.com.au,Unit 16/ 39 Corporation Cct,NSW,Tweed Heads South,2486,-28.207683, 153.537713
Dee Glass,(02) 4934 1466,,luke@deeglass.com.au,Unit 1/ 61-63 Turton St,NSW,Metford,2323,-32.760324, 151.598555
Distinctive Glass,(02) 6658 6184,,,40 Hi Tech Dr,NSW,Toormina,2452,-30.344604, 153.088775
Dynasty Glass &amp; Glazing Service,(02) 9623 0527,,,Unit 5/ 3 Plasser Crst,NSW,North St Marys,2760,-33.76256, 150.78626
EAGLE GLAZING SERVICES,0455 880 690,,,,,,,-33.7274433, 150.7224419
Elite Commercial Glazing,0404 057 003,,,18 Morningbird Cl,NSW,St Clair,2759,-33.797422, 150.789957
Everything Glass,0414 216 502,,everythingglass@netspace.net.au,Pinta Pl,NSW,Cromer,2099,-33.738089, 151.272852
Expo Glass Installation,(02) 9774 4685,,,56 Cammarlie St,NSW,Panania,2213,-33.95439, 150.98978
East Coast Glass &amp; Glazing,0425 305 282,,eastcoastglass01@gmail.com,32 Roberts Avenue,NSW,Randwick,2031,-33.908434, 151.250463
Ecco Hardware Pty Ltd,(02) 8310 2888,,,141 Allen St,NSW,Leichhardt,2040,-33.879969, 151.149645
Economy Glass,(02) 6553 6680,,economyglassoldbar@gmail.com,,,,,-31.9692248, 152.5863946
Empire Facades Pty Ltd,(02) 9522 5355,,,525 Botany Road Cnr Hansard Street,NSW,Green Square,2017,-33.906564, 151.204071
Empire Glass Australia,1300 771 743,,sales@empireglassaustralia.com.au,,,,,-37.8514775, 144.9935363
Envy Glass,0433 512 686,,sales@envyglass.com.au,,,,,-30.6133531, 152.9982042
Excell Glass Services,(02) 9874 9555,,xlglass@comcen.com.au,1073 Victoria Rd,NSW,West Ryde,2114,-33.806861, 151.084537
Exchange Glazing Service,(02) 9528 4068,,,,,,,-34.0070312, 151.0809796
Exclusive Glass Products,(02) 4322 6977,,exclusiveglass@egp.com.au,348 Manns Rd,NSW,West Gosford,2250,-33.421728, 151.320437
Elegant I G Supplyline,(02) 9473 6500,,matt@elegantig.com.au,Unit T 6 25 Narabang Way,NSW,Belrose,2085,-33.708065, 151.212909
European Glass &amp; Glazing Pty Ltd,(02) 9609 1270,,office@europeanglass.com.au,2 Rennie St,NSW,Wetherill Park,2164,-33.852667, 150.887338
Exclusive showers and glass,0479 016 368,,mark@exclusiveshowersandglass.com.au,,,,,-34.2874198, 146.0468488
Express Glass,1300 666 234,,service@expressglass.com.au,,,,,
Farrawell Glass &amp; Aluminium,(02) 6562 7244,,,Cnr Of South St and Pacific Hwy,NSW,Kempsey,2440,-31.101108, 152.831948
Fields Glass &amp; Glazing Pty Ltd,(02) 9680 1900,,peter@fieldsglassandglazing.net.au,,,,,
Finecutglass,0487 074 617,,Finecutglass@outlook.com,,,,,-33.9051964, 150.6111009
Framaglass Pty Ltd,(02) 6382 5115,,framaglass@bigpond.com,Shop 2/ 21 Lovell St,NSW,Young,2594,-34.31233, 148.300373
Fast Glass Newcastle,(02) 4959 2022,,sales@torontoglass.com.au,122 Cary St,NSW,Toronto,2283,-33.010546, 151.593932
F&amp;C Glass and Aluminium,(02) 4969 1388,,,61 Wallsend Rd,NSW,Sandgate,2304,-32.872847, 151.704714
Fiedler's Glass,0427 251 992,,,,,,,-28.819991, 153.3284519
Fields Glass,1800 005 004,,,,,,,-33.72510369, 151.00187631
First Class Glass,0424 614 310,,,,,,,-33.7031604, 151.1004777
First For Glass,0424 145 734,,,,,,,-33.8316065, 151.186326
Fixwell Glass &amp; Mirrors,0409 007 990,,,22 Bow St,NSW,Corowa,2646,-35.992915, 146.389029
Flett's Glass Service,0404 466 428,,,,,,,-33.7320287, 151.3005685
Fobco Aluminium Windows,(08) 8088 2114,,,67 Rakow St,NSW,Broken Hill,2880,-31.964951, 141.433376
Frameless Glass Products,0431 749 765,,jaredpriestdesign@gmail.com,,,,,-34.6434839, 150.8450248
Frameless Pool Glass,1300 695 344,,,Unit 1/ 63 Barry Ave,NSW,Mortdale,2223,-33.966328, 151.064672
Frasers Hardware,(02) 6959 1762,,,21 Lethbridge Dr,NSW,Narrandera,2700,-34.742566, 146.571371
Forster Tuncurry Glass &amp; Maintenance,0432 287 675,,dandi6770@hotmail.com,,,,,-32.1800654, 152.5116666
Freelance Glass,(02) 9972 4103,,,Factory 20 / 1- 5 Thew Parade,NSW,Cromer,2099,-33.73576, 151.28234
Gad's Glass,(02) 4232 3822,,,,,,,-34.6702829, 150.8544424
Glasscraft Glass and Glazing Pty Ltd,(02) 9999 1525,,glasscraft1@bigpond.com,Unit 5/ 77-79 Bassett St,NSW,Mona Vale,2103,-33.671736, 151.305936
